trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
98,False,"{'a': 0.5, 'e': 0.006560143180425483}",20,7,25.90669716062075,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.006232136021404208}",20,16,10.058849633680158,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.0059205292203339975}",25,13,23.924439562737742,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.005624502759317297}",25,12,27.301545022454672,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.0053432776213514326}",20,7,23.325886913937232,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.00507611374028386}",20,9,22.41216814049037,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.004822308053269667}",30,16,26.130698384097975,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.004581192650606184}",30,20,17.421718769062224,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.004352133018075874}",20,13,14.436367811194469,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.00413452636717208}",20,14,12.64329437653306,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.003927800048813476}",30,13,28.398821547697434,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.0037314100463728024}",25,10,27.233654280377483,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.003544839544054162}",25,8,28.54641650212512,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.0033675975668514537}",35,20,28.026825047259567,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.003199217688508881}",25,8,31.26085121860382,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.0030392568040834367}",30,12,36.74681389334019,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.0028872939638792646}",25,17,16.855074625701015,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.0027429292656853013}",25,15,13.728828350602083,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.0026057828024010363}",30,22,17.13244658339062,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.0024754936622809844}",20,10,14.661426502411421,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.002351718979166935}",25,11,22.690089970621816,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.002234133030208588}",30,19,22.55280778628363,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.0021224263786981585}",35,23,21.94767245343713,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.0020163050597632507}",30,24,12.854108187608075,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.001915489806775088}",30,19,21.143540532884302,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.0018197153164363335}",20,15,10.256936426668132,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.0017287295506145167}",20,14,10.21440156589159,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.001642293073083791}",20,6,25.32661803198766,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.0015601784194296012}",20,6,26.67229482724035,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.0014821694984581211}",25,14,22.212420201834433,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.001408061023535215}",30,19,22.06101527052401,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.001337657972358454}",20,8,21.10787061515392,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.0012707750737405313}",20,12,13.550272129641733,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.0012072363200535047}",35,18,32.69477507864846,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.0011468745040508295}",20,9,24.69354352920449,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.001089530778848288}",25,15,19.29881720620648,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.0010350542399058735}",35,20,24.723746666593847,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.0009833015279105798}",30,17,24.78862545445569,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.0009341364515150507}",30,15,27.137264428577836,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.0008874296289392981}",25,19,14.121364423945446,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.0008430581474923332}",25,11,26.633382676218798,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.0008009052401177165}",25,19,12.565480581737377,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.0007608599781118307}",20,13,14.988251680387439,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.000722816979206239}",25,13,23.410698811371457,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.0006866761302459271}",20,6,27.501674967766167,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.0006523423237336307}",25,3,37.094619788517214,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.0006197252075469491}",20,6,27.026744204689763,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
